Station Name,Latitude (deg) ,Longitude (deg) ,Avg Air Temp (Degrees F) 
Grafton,48.41230000000018,-97.18600000000112,37.27042777777781
Grand Forks,47.83632999999913,-97.06683799999917,38.03290833333331
Greenbush,48.70400000000049,-96.32499999999871,36.18518888888886
Grenora,48.73500699999976,-103.8812210000017,36.57451111111113
Harvey,47.73045899999935,-99.91937000000162,36.827080555555554
Hawkeye,48.02409999999961,-102.94056000000121,37.321727777777795
Hazen,47.301999999999865,-101.67899999999884,37.387983333333324
Hettinger,46.01099999999945,-102.64299999999801,38.632263888888886
Hillsboro,47.35299999999952,-96.92199999999944,38.31215833333335
Hofflund,48.16470000000049,-103.10860000000046,36.57166388888889
Hope,47.36835200000048,-97.64030600000082,37.72229027777776
Hubbard,46.82058999999964,-94.99579999999892,38.75619166666661
Humboldt,48.88399999999904,-97.15000000000059,35.426366666666645
Inkster,48.16639999999931,-97.71040000000139,36.76240555555559
Jamestown,46.90599999999981,-98.9270000000011,37.525002777777786
Karlsruhe,48.12299999999966,-100.625,37.07054444444443
Kempton,47.780399999999865,-97.49429999999937,37.46040416666669
Kennedy,48.63670899999933,-97.04111700000057,36.88148055555563
Langdon,48.759878000000306,-98.34456900000012,34.74870694444446
Leonard,46.72938100000025,-97.28347000000036,38.87200833333333
Liberty,47.90568000000004,-102.21957999999952,37.67429166666664
Linton,46.328000000000614,-100.27700000000061,38.49890555555554
Lisbon,46.44476600000036,-97.72106399999892,39.10455555555559
Little Falls,45.93213000000036,-94.25140000000043,40.956554166666635
Logan Center,47.80247399999989,-97.7743679999989,36.85668750000002
Maddock,47.99168300000017,-99.5337539999987,36.51498055555557
Mandan,46.774000000000434,-100.91399999999929,38.91792361111112
Marion,46.56450000000034,-98.32759999999904,38.25228750000001
Mavie,48.1209999999994,-95.97099999999942,37.31819305555559
Mayville,47.49799999999966,-97.26200000000107,37.81693888888892
McHenry,47.68500000000044,-98.62300000000018,36.97579583333333
Medicine Hole,47.55993999999941,-102.99210000000159,38.753705555555534
Michigan,48.01900000000019,-98.17199999999953,36.0495236111111
Minot,48.18044999999986,-101.30791000000156,36.785301388888904
Mohall,48.76383333299993,-101.53361666700096,36.109598611111146
Mooreton,46.224074000000655,-96.89498700000014,39.53026666666662
Mott,46.38000000000028,-102.3220000000001,38.377137499999975
Niles,48.24845400000033,-99.32934099999913,36.233305555555596
Noonan,48.749729999999836,-103.00600700000197,34.98699444444446
Oakes,46.073734000000535,-98.09342600000006,39.37228749999999
Ottertail,46.4264299999997,-95.573499999999,39.173401388888884
Parkers Prairie,46.16939999999958,-95.35599999999978,39.404145833333345
Pekin,47.80762400000029,-98.31057300000057,36.06626527777774
Perham,46.610476999999314,-95.60187600000053,39.00097638888894
Perley,47.17899999999996,-96.67999999999985,38.58474166666672
Pillsbury,47.224999999999376,-97.79099999999882,37.86081111111114
Pine Point,47.0128599999997,-95.37170000000161,37.92319166666665
Plaza,47.862000000000336,-101.95799999999906,36.388013888888864
Prosper,47.00200000000034,-97.1149999999997,38.760601388888865
Rat Lake,48.196779999999244,-102.69860000000176,36.27540972222221
Ray,48.40094400000068,-103.16925000000016,35.63621527777775
Redstone,48.82109399999964,-104.84200299999914,36.837695833333356
Rice,45.79382999999947,-94.26179999999997,41.702225000000006
Robinson,47.17299999999966,-99.79800000000053,37.15557499999999
Rolla,48.84300000000056,-99.614000000001,34.58628888888887
Roseau,48.68500000000039,-95.73399999999846,36.976887500000046
Ross,48.312752000000586,-102.45040099999986,35.471434722222234
Rugby,48.353999999999544,-100.06300000000002,36.36917638888887
Sabin,46.79438899999958,-96.6116830000008,39.10573194444446
Sawyer,47.978288999999464,-101.08947399999958,37.33485277777781
Sidney,47.72981900000013,-104.15240599999986,39.15853472222222
St. Thomas,48.600999999999665,-97.4930000000009,37.02176805555552
Staples,46.387729999999465,-94.8087000000007,40.04133472222218
Steele,46.894006999999746,-99.9927159999999,37.174562500000036
Stephen,48.45675000000029,-96.8539529999993,36.849252777777764
Streeter,46.718490999999695,-99.46067000000035,37.718941666666694
Tappen,46.88100000000051,-99.58000000000132,37.77733055555554
Turtle Lake,47.567999999999515,-100.91500000000006,37.153844444444424
Ulen,47.050472999999634,-96.10843200000039,37.74506805555556
Wadena,46.44829999999994,-95.21420000000083,39.26598888888885
Wahpeton,46.354999999999684,-96.66599999999883,39.71000972222221
Warren,48.136999999999695,-96.83900000000038,36.408319444444444
Watford City,47.81042000000077,-103.23217000000143,38.612809722222266
Waukon,47.325859000000186,-96.13250400000034,37.98124583333333
Webster,48.313192000000626,-98.87689600000118,35.62159444444445
Werner,47.444459999999495,-102.5001399999989,37.63170833333334
Westport,45.71508000000085,-95.17179999999817,39.830001388888924
Williams,48.85845400000043,-94.98089700000091,35.759477777777796
Williston,48.133000000000784,-103.73900000000101,38.494306944444446
Wishek,46.25999999999934,-99.66599999999879,37.65667638888885
Zeeland,46.01337799999974,-99.68758699999968,37.186298611111106
